,invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5%,total,date,time,payment,cogs,gross_margin_percentage,gross_income,rating
35,232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.1,1,3.4,71.5,1/7/2019,12:28,Ewallet,68.1,4.8,3.4,6.8
36,129-29-8530,A,Yangon,Member,Male,Sports and travel,62.6,5,15.7,328.8,3/10/2019,19:15,Ewallet,313.1,4.8,15.7,7.0
37,272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.9,9,27.4,575.3,1/15/2019,17:17,Ewallet,547.9,4.8,27.4,4.7
38,333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.9,8,22.0,461.3,3/23/2019,13:24,Ewallet,439.4,4.8,22.0,7.6
39,777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.1,8,12.0,253.0,3/3/2019,13:01,Cash,241.0,4.8,12.0,7.7
40,280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.7,1,4.3,91.1,1/17/2019,18:45,Ewallet,86.7,4.8,4.3,7.9
41,554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.1,2,5.6,117.8,2/2/2019,10:11,Cash,112.2,4.8,5.6,6.3
42,354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.1,6,20.7,435.5,2/8/2019,13:03,Cash,414.7,4.8,20.7,5.6
43,228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.5,829.1,3/4/2019,20:39,Cash,789.6,4.8,39.5,7.6
44,617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.4,2,1.5,32.3,3/16/2019,19:47,Cash,30.7,4.8,1.5,7.2
45,132-32-9879,B,Mandalay,Member,Female,Electronic accessories,94.0,4,18.8,394.6,3/9/2019,18:00,Cash,375.8,4.8,18.8,9.5
46,370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.7,9,25.5,535.7,2/27/2019,17:24,Credit card,510.2,4.8,25.5,8.4
47,727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.0,9,9.0,189.1,2/6/2019,15:47,Ewallet,180.1,4.8,9.0,4.1
48,669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.9,6,5.7,119.3,2/10/2019,12:45,Credit card,113.6,4.8,5.7,8.1
49,574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.6,10,41.3,867.6,3/19/2019,17:08,Ewallet,826.3,4.8,41.3,7.9
50,326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,32.0,671.8,2/3/2019,10:19,Cash,639.8,4.8,32.0,9.5
51,162-48-8011,A,Yangon,Member,Female,Food and beverages,44.6,5,11.1,234.1,2/10/2019,15:10,Cash,223.0,4.8,11.1,8.5
52,616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.9,4,3.6,75.1,3/22/2019,14:42,Ewallet,71.5,4.8,3.6,6.5
53,778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.4,1,0.8,16.2,1/25/2019,15:46,Credit card,15.4,4.8,0.8,6.1
54,242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.2,2,1.6,33.9,3/7/2019,11:49,Ewallet,32.3,4.8,1.6,6.5
55,399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,86.0,8,34.4,722.2,2/28/2019,19:01,Cash,687.8,4.8,34.4,8.2
56,106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.3,2,4.4,93.1,3/27/2019,11:26,Cash,88.7,4.8,4.4,5.8
57,635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.8,752.6,2/7/2019,11:28,Ewallet,716.8,4.8,35.8,6.6
58,817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.4,10,36.2,759.7,1/20/2019,15:55,Cash,723.5,4.8,36.2,5.4
59,120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.6,6,9.2,192.8,3/12/2019,20:36,Cash,183.7,4.8,9.2,9.3
60,285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.7,3,3.7,77.9,2/15/2019,17:47,Credit card,74.2,4.8,3.7,10.0
61,803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.7,6,16.7,351.1,2/24/2019,10:55,Ewallet,334.4,4.8,16.7,7.0
62,347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.1,9,24.8,520.4,2/3/2019,13:40,Ewallet,495.6,4.8,24.8,10.0
63,199-75-8169,A,Yangon,Member,Male,Sports and travel,15.8,10,7.9,166.0,3/6/2019,12:27,Credit card,158.1,4.8,7.9,8.6
64,853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.7,4,15.1,318.1,2/14/2019,14:35,Cash,303.0,4.8,15.1,7.6
65,877-22-3308,A,Yangon,Member,Male,Health and beauty,15.9,10,7.9,166.6,3/13/2019,16:40,Cash,158.7,4.8,7.9,5.8
66,838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.5,2,3.3,70.3,2/10/2019,15:43,Ewallet,66.9,4.8,3.3,6.7
67,109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.6,6,29.3,614.9,1/7/2019,15:01,Ewallet,585.7,4.8,29.3,9.9
68,232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.8,10,39.4,827.1,1/24/2019,10:04,Cash,787.7,4.8,39.4,6.4
69,382-03-4532,A,Yangon,Member,Female,Health and beauty,18.3,1,0.9,19.2,2/2/2019,18:50,Cash,18.3,4.8,0.9,4.3
70,393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.5,10,44.7,939.5,1/6/2019,12:46,Credit card,894.8,4.8,44.7,9.6
71,796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.1,10,31.1,652.3,2/11/2019,16:19,Cash,621.2,4.8,31.1,5.9
72,510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.5,3,7.3,152.8,3/5/2019,18:17,Ewallet,145.6,4.8,7.3,4.0
73,841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.9,6,22.8,478.2,3/9/2019,18:21,Cash,455.5,4.8,22.8,8.7
74,287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.7,9,33.6,705.6,1/22/2019,10:55,Ewallet,672.0,4.8,33.6,9.4
75,732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.7,10,20.8,437.3,1/13/2019,17:04,Credit card,416.5,4.8,20.8,5.4
76,263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.0,9,22.1,463.4,1/9/2019,14:20,Credit card,441.4,4.8,22.1,8.6
77,381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.0,9,9.0,189.1,1/12/2019,15:48,Credit card,180.1,4.8,9.0,5.7
78,829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.3,10,39.2,822.3,3/5/2019,16:24,Ewallet,783.1,4.8,39.2,6.6
79,756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.4,5,5.1,107.0,1/22/2019,18:56,Cash,101.9,4.8,5.1,6.0
80,870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.2,6,29.8,624.9,1/21/2019,14:42,Credit card,595.1,4.8,29.8,5.5
81,847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.7,3,14.5,304.5,1/26/2019,19:56,Ewallet,290.0,4.8,14.5,6.4
82,480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.3,8,7.7,161.7,1/23/2019,18:37,Ewallet,154.0,4.8,7.7,6.6
83,787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.4,4,16.1,337.5,2/23/2019,18:45,Credit card,321.4,4.8,16.1,8.3
84,360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.9,5,12.2,256.8,3/9/2019,10:17,Cash,244.6,4.8,12.2,6.6
85,730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.1,7,29.1,610.5,3/5/2019,14:31,Ewallet,581.4,4.8,29.1,4.0
86,362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.5,5,19.1,401.7,3/25/2019,10:23,Cash,382.6,4.8,19.1,9.9
87,633-44-8566,A,Yangon,Member,Male,Food and beverages,49.4,7,17.3,362.9,3/27/2019,20:35,Credit card,345.7,4.8,17.3,7.3
88,504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.5,1,2.1,44.6,1/2/2019,16:57,Cash,42.5,4.8,2.1,5.7
89,318-68-5053,B,Mandalay,Normal,Female,Health and beauty,77.0,6,23.1,485.0,2/27/2019,17:55,Cash,461.9,4.8,23.1,6.1
90,565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.4,4,9.5,199.0,1/23/2019,10:25,Cash,189.5,4.8,9.5,7.1
91,225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.9,10,22.4,471.0,1/26/2019,19:54,Ewallet,448.6,4.8,22.4,8.2
92,873-51-0671,A,Yangon,Member,Female,Sports and travel,22.0,7,7.7,161.6,1/10/2019,16:42,Ewallet,153.9,4.8,7.7,5.1
93,152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.4,9,29.0,608.2,3/12/2019,12:09,Credit card,579.2,4.8,29.0,8.6
94,512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.8,1,4.5,94.2,2/6/2019,20:05,Credit card,89.8,4.8,4.5,6.6
95,594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.2,1,4.9,102.0,3/8/2019,20:38,Ewallet,97.2,4.8,4.9,7.2
96,766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.9,10,43.9,922.6,3/29/2019,10:25,Ewallet,878.7,4.8,43.9,5.1
97,871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.5,6,3.7,78.4,2/9/2019,13:11,Cash,74.7,4.8,3.7,4.1
98,865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.8,3,7.9,166.2,3/23/2019,10:16,Ewallet,158.3,4.8,7.9,9.3
99,733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.8,521.0,3/5/2019,18:14,Cash,496.2,4.8,24.8,7.4
100,163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.7,1,2.4,51.1,3/26/2019,19:20,Cash,48.7,4.8,2.4,4.1
101,189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.6,9,35.3,742.3,3/1/2019,13:22,Cash,707.0,4.8,35.3,7.2
102,551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.1,9,10.4,218.0,2/1/2019,11:27,Cash,207.6,4.8,10.4,4.9
103,212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.3,6,17.5,367.0,3/28/2019,16:44,Cash,349.6,4.8,17.5,9.9
104,716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.4,7,10.6,223.1,3/19/2019,18:19,Cash,212.5,4.8,10.6,8.0
105,704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.7,10,44.3,931.0,1/12/2019,14:50,Ewallet,886.7,4.8,44.3,7.3
106,628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.4,6,8.2,172.5,1/5/2019,20:54,Credit card,164.3,4.8,8.2,7.9
107,630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.1,6,18.6,391.4,3/22/2019,20:19,Cash,372.8,4.8,18.6,7.4
108,588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,34.0,9,15.3,321.1,3/24/2019,10:43,Cash,305.8,4.8,15.3,4.2
109,861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,82.0,10,41.0,860.7,3/3/2019,14:30,Cash,819.7,4.8,41.0,9.2
110,479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.5,2,1.6,34.6,2/5/2019,11:32,Ewallet,33.0,4.8,1.6,4.6
111,210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.2,3,14.7,309.4,2/5/2019,10:41,Credit card,294.6,4.8,14.7,7.8
112,227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.8,7,25.5,535.4,2/15/2019,12:44,Cash,509.9,4.8,25.5,8.4
113,645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.1,9,26.1,548.8,1/19/2019,20:07,Ewallet,522.6,4.8,26.1,4.3
114,237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.8,9,36.4,763.5,2/1/2019,20:31,Credit card,727.1,4.8,36.4,9.5
115,225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.0,3,4.1,85.1,3/2/2019,13:01,Credit card,81.1,4.8,4.1,7.1
116,291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.9,5,5.5,115.2,3/5/2019,12:29,Ewallet,109.7,4.8,5.5,5.3
117,659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.4,1,2.6,53.9,1/16/2019,15:26,Ewallet,51.4,4.8,2.6,5.2
118,642-32-2990,A,Yangon,Normal,Female,Food and beverages,11.0,10,5.5,115.1,2/2/2019,20:48,Ewallet,109.6,4.8,5.5,6.0
119,378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.4,2,5.3,112.2,1/20/2019,20:38,Ewallet,106.9,4.8,5.3,4.1
120,638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.6,8,39.8,836.3,2/14/2019,17:03,Credit card,796.5,4.8,39.8,5.2
121,659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.1,7,20.0,419.8,1/12/2019,12:02,Credit card,399.8,4.8,20.0,6.5
122,219-22-9386,B,Mandalay,Member,Male,Sports and travel,100.0,9,45.0,944.6,3/9/2019,17:26,Credit card,899.6,4.8,45.0,4.2
123,336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.9,8,25.6,536.8,3/13/2019,19:52,Credit card,511.3,4.8,25.6,4.6
124,268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.5,8,22.6,474.3,3/9/2019,14:57,Ewallet,451.8,4.8,22.6,7.3
125,668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.7,7,32.8,688.6,3/10/2019,18:44,Credit card,655.8,4.8,32.8,4.5
126,870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.3,5,8.1,169.3,1/27/2019,13:26,Cash,161.3,4.8,8.1,9.0
127,189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.7,9,14.3,299.8,1/8/2019,16:17,Credit card,285.6,4.8,14.3,5.9
128,663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.5,8,27.4,575.7,1/8/2019,15:57,Ewallet,548.3,4.8,27.4,8.5
129,549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.3,9,40.6,853.1,2/8/2019,11:15,Ewallet,812.5,4.8,40.6,7.2
130,191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.6,7,13.9,291.2,1/25/2019,13:18,Cash,277.3,4.8,13.9,7.5
131,802-70-5316,A,Yangon,Member,Female,Sports and travel,92.1,6,27.6,580.4,3/6/2019,20:34,Cash,552.8,4.8,27.6,8.3
132,695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.8,4,7.0,146.3,2/10/2019,18:36,Cash,139.4,4.8,7.0,7.4
133,590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.5,6,26.2,550.9,2/17/2019,14:40,Credit card,524.7,4.8,26.2,8.8
134,483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.4,512.2,3/8/2019,16:43,Ewallet,487.8,4.8,24.4,5.3
135,597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.2,3,13.5,284.2,2/18/2019,19:39,Cash,270.7,4.8,13.5,6.2
136,700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.3,5,6.6,138.1,1/18/2019,20:59,Credit card,131.6,4.8,6.6,8.8
137,354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.4,6,10.3,216.8,2/18/2019,15:39,Cash,206.5,4.8,10.3,9.8
138,241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.9,10,26.0,545.1,2/16/2019,12:21,Cash,519.1,4.8,26.0,8.2
139,575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,3/16/2019,19:25,Ewallet,580.0,4.8,29.0,9.2
140,731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,1/23/2019,13:00,Credit card,898.0,4.8,44.9,5.4
141,280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.3,950.3,1/25/2019,13:48,Cash,905.0,4.8,45.3,8.1
142,338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2/5/2019,19:57,Cash,686.0,4.8,34.3,9.1
143,488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.4,1,1.5,31.9,2/22/2019,10:36,Credit card,30.4,4.8,1.5,8.4
144,239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,78.0,6,23.4,491.1,1/21/2019,16:37,Ewallet,467.7,4.8,23.4,8.0
145,458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.3,6,13.9,291.4,3/8/2019,17:11,Credit card,277.6,4.8,13.9,9.5
146,685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.1,10,15.1,316.5,2/10/2019,12:28,Ewallet,301.4,4.8,15.1,9.2
147,568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.1,4,13.2,277.8,3/19/2019,12:46,Credit card,264.6,4.8,13.2,5.6
148,262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.9,8,28.7,603.6,3/6/2019,15:07,Credit card,574.9,4.8,28.7,6.2
149,238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.5,8,13.0,272.7,3/27/2019,13:48,Credit card,259.7,4.8,13.0,4.9
150,608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.5,4,18.3,384.5,3/23/2019,19:20,Credit card,366.2,4.8,18.3,4.8
151,584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.6,7,12.1,254.0,3/11/2019,16:07,Credit card,241.9,4.8,12.1,7.3
152,746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.2,9,37.5,786.6,1/29/2019,11:56,Credit card,749.2,4.8,37.5,7.4
153,214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.5,6,4.9,103.8,2/7/2019,18:23,Ewallet,98.9,4.8,4.9,9.9
154,400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,81.0,8,32.4,680.1,1/28/2019,13:05,Cash,647.8,4.8,32.4,9.3
155,782-95-9291,A,Yangon,Member,Male,Food and beverages,92.3,5,23.1,484.5,2/20/2019,15:55,Credit card,461.5,4.8,23.1,9.0
156,279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.2,1,3.6,75.8,1/4/2019,19:40,Cash,72.2,4.8,3.6,6.1
157,307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.3,5,12.6,264.0,3/7/2019,13:58,Ewallet,251.4,4.8,12.6,9.7
158,743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.2,9,43.7,918.7,3/30/2019,14:43,Ewallet,875.0,4.8,43.7,6.0
159,423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.4,6,28.0,588.4,3/27/2019,19:18,Ewallet,560.3,4.8,28.0,10.0
160,894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.2,8,17.3,362.7,1/19/2019,19:39,Credit card,345.4,4.8,17.3,8.3
161,275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.7,1,3.2,66.9,2/25/2019,16:21,Cash,63.7,4.8,3.2,6.0
162,101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.8,7,16.0,336.6,3/13/2019,19:44,Credit card,320.5,4.8,16.0,7.0
163,423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.6,160.4,1/30/2019,19:42,Ewallet,152.8,4.8,7.6,6.5
164,548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,20.0,419.0,2/20/2019,15:24,Credit card,399.0,4.8,20.0,5.9
165,505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.6,8,17.0,357.6,2/25/2019,14:12,Ewallet,340.6,4.8,17.0,5.6
166,234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.6,10,47.8,1003.6,1/16/2019,13:32,Cash,955.8,4.8,47.8,4.8
167,687-47-8271,A,Yangon,Normal,Male,Fashion accessories,99.0,10,49.5,1039.3,2/8/2019,16:20,Credit card,989.8,4.8,49.5,8.7
168,796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.3,6,15.4,323.1,1/19/2019,16:31,Cash,307.7,4.8,15.4,6.5
169,105-31-1824,A,Yangon,Member,Male,Sports and travel,69.5,7,24.3,511.0,2/1/2019,15:10,Credit card,486.6,4.8,24.3,8.5
170,249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.0,5,17.5,367.6,1/3/2019,11:36,Ewallet,350.1,4.8,17.5,5.5
171,316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.1,5,20.0,420.3,1/26/2019,12:45,Credit card,400.3,4.8,20.0,9.4
172,733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.9,8,8.3,175.1,3/3/2019,19:17,Cash,166.8,4.8,8.3,6.3
173,608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.9,6,15.9,333.2,1/19/2019,17:34,Credit card,317.3,4.8,15.9,9.8
174,414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.8,8,7.9,166.2,1/18/2019,12:04,Ewallet,158.3,4.8,7.9,8.7
175,827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.8,9,15.2,319.8,3/21/2019,16:21,Ewallet,304.6,4.8,15.2,8.8
176,175-54-2529,A,Yangon,Member,Male,Food and beverages,22.2,8,8.9,186.2,3/3/2019,17:01,Credit card,177.4,4.8,8.9,9.6
177,139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.5,7,7.9,165.4,2/13/2019,10:50,Credit card,157.6,4.8,7.9,4.8
